01-03|День спонтанного праздника 🎈
01-21|Международный день объятий 🤗
01-28|День веселой рубашки 👕
02-02|День енота 🦝
02-11|День изобретения зонтика ☂️
02-22|День ходьбы задом наперёд 🔁
03-01|День комплиментов 🌟
03-13|День спящих в общественных местах 😴
03-20|Международный день счастья 😊
03-31|День перевёрнутых вещей 🔄
04-01|День дурака 🤡
04-07|День громкого смеха 😂
04-17|День носков не по паре 🧦
04-19|День поедания чеснока 🧄
05-01|День ленивого утюга 🧺
05-04|День Звёздных войн 🌌
05-13|День танца с котами 🐱💃
05-25|День полотенца 🧣
06-01|День молока и печенек 🥛🍪
06-06|День рыбы без причины 🐟
06-18|День хождения по кругу 🔁
07-07|День шоколада 🍫
07-13|День шоколадного пирога 🎂
07-20|День "ничего не делания" 🛋️
08-01|День странных танцев 💃🕺
08-08|День котиков 🐱
08-13|День левшей ✋
08-27|День надувных игрушек 🎈
09-05|День переодевания в овощ 🥕
09-13|День сломанного карандаша ✏️
09-19|День разговора как пират 🏴‍☠️
09-28|День кофе с зефирками ☕
10-01|День объятий с деревьями 🌳
10-05|День учителя 🎓
10-13|День кривых селфи 🤳
10-16|День еды в шлеме 🪖🍝
10-31|День тыквенных шляп 🎃
11-01|День кормления невидимого питомца 🐾
11-07|День писем самому себе ✉️
11-13|Всемирный день доброты 🧸
11-23|День чайных церемоний в пижаме 🍵🛌
12-01|День разговора со снеговиком ☃️
12-08|День притворного супергероя 🦸
12-12|День очень странных шляп 🎩
12-18|День чтения комиксов вслух 📚
12-25|Пижамный день под ёлкой 🎄
12-31|День поедания мандаринов без остановки 🍊
